%time,field.layout.data_offset,field.data0,field.data1
1548930423856646425,0,3.68626371212,50.6790027618
1548930423979585868,0,3.68816676829,50.7010017633
1548930424080679965,0,3.69013667386,50.796002984
1548930424181496812,0,3.68816701416,50.6240026951
1548930424282490970,0,3.68836671766,50.6450024843
1548930424383516902,0,3.68840067089,50.7100032568
1548930424484553913,0,3.68983636796,50.7270021439
1548930424585567792,0,3.69077094831,50.7800019979
1548930424686610599,0,3.68963591661,50.7770028114
1548930424690798127,0,3.68876768649,50.7970029116
1548930424787432576,0,3.68876768649,50.7970029116
1548930424888498156,0,3.69137214497,50.633002758
1548930424989374903,0,3.69183957018,50.6030015945
1548930425090480010,0,3.69080467708,50.6980024576
1548930425191357666,0,3.69080481958,50.6550027132
1548930425292392590,0,3.69080467708,50.7650027275
1548930425393561841,0,3.69447715115,50.5730022788
1548930425494396056,0,3.69247387443,50.6760028005
1548930425595669834,0,3.69157291669,50.6680032015
1548930425696635846,0,3.69110497646,50.6500023603
1548930425797265893,0,3.69224062096,50.6870025396
1548930425898248742,0,3.69157238677,50.6040028334
1548930425999250807,0,3.69113842212,50.7190026641
1548930426100274398,0,3.69324212894,50.5960018039
1548930426201551039,0,3.69277422503,50.6480022669
1548930426302380929,0,3.69320834707,50.6070028543
1548930426403158833,0,3.69527861755,50.7800020576
1548930426483236756,0,3.69407642819,50.6090019345
1548930426605297138,0,3.6947442824,50.6010023355
1548930426685470429,0,3.69501146581,50.588003099
1548930426786298410,0,3.69517820235,50.6660026908
1548930426908163781,0,3.69731506333,50.7750014067
1548930426988251622,0,3.69497793075,50.5830020905
1548930427089099157,0,3.69534557499,50.6570027471
1548930427211082402,0,3.69631385338,50.5480030179
1548930427215413681,0,3.69581259601,50.5450026989
1548930427291101903,0,3.69581259601,50.5450026989
1548930427413370718,0,3.6947442824,50.6200020909
1548930427493111282,0,3.69728200044,50.7220029831
1548930427615040388,0,3.6947442824,50.7200027704
1548930427695511358,0,3.7020650208,50.6560022235
1548930427817351233,0,3.70339015219,50.6390029788
1548930427897676247,0,3.70398224425,50.6990024149
1548930428019257677,0,3.7034463631,50.6700028777
1548930428099007330,0,3.70705989841,50.7360027432
1548930428220908500,0,3.70655834302,50.6530029774
1548930428301045595,0,3.70769561362,50.6410032213
1548930428423004327,0,3.70471779443,50.6330028474
1548930428502877055,0,3.70505254902,50.6030021012
1548930428625083727,0,3.70652471855,50.5450029671
1548930428704769162,0,3.70746181905,50.4840020239
1548930428826793090,0,3.70806343295,50.657002598
